so,req,database,type,total_time,server_response,db_response,cpu_usage
linux,10,postgres,read,0.10792613,0.105399847,0.00467205,0
linux,10,postgres,read,0.107971907,0.104872942,0.00413084,1.3
linux,10,postgres,read,0.107686043,0.104838848,0.004132032,1.2
linux,10,postgres,read,0.107686043,0.104842186,0.004112005,1.3
linux,10,postgres,read,0.103631973,0.102120161,0.001682043,1.2
linux,10,postgres,read,0.107061148,0.104346991,0.003677845,0
linux,10,postgres,read,0.106710196,0.10432601,0.003698826,1.2
linux,10,postgres,read,0.108128071,0.105354071,0.00467205,0
linux,10,postgres,read,0.103626013,0.102092981,0.001652956,1.2
linux,10,postgres,read,0.103515863,0.102062941,0.001634121,0
linux,10,postgres,read,0.104364872,0.102760077,0.002283812,1.2
linux,10,postgres,read,0.105623007,0.103785038,0.003182888,1.2
linux,10,postgres,read,0.106357098,0.103960991,0.003341913,0
linux,10,postgres,read,0.108538866,0.104867935,0.004153013,1.2
linux,10,postgres,read,0.10945487,0.106051922,0.005207062,2.4
linux,10,postgres,read,0.108736992,0.104943991,0.004128218,0
linux,10,postgres,read,0.107345104,0.104632139,0.003927946,2.5
linux,10,postgres,read,0.107915163,0.104825974,0.004085064,1.3
linux,10,postgres,read,0.103595018,0.102030039,0.00156188,1.2
linux,10,postgres,read,0.107856989,0.104820967,0.004089832,0
linux,10,postgres,read,0.107936859,0.104813099,0.004070044,1.2
linux,10,postgres,read,0.107681036,0.105269909,0.004654884,0
linux,10,postgres,write,0.641234159,0.639622211,0.465010881,0
linux,10,postgres,write,0.167448997,0.164446115,0.06001687,0
linux,10,postgres,write,0.17020607,0.166941881,0.062909126,1.2
linux,10,postgres,write,0.169770002,0.166589022,0.062636852,0
linux,10,postgres,write,0.167757988,0.165781021,0.062938929,0
linux,10,postgres,write,0.162976027,0.159573078,0.055607796,0
linux,10,postgres,write,0.166995049,0.164685011,0.061429024,1.3
linux,10,postgres,write,0.159920931,0.157243013,0.054344893,0
linux,10,postgres,write,0.160551071,0.157120228,0.053186178,0
linux,10,postgres,write,0.170538187,0.16694808,0.06268692,0
linux,10,postgres,write,0.15725708,0.155612946,0.053625822,0
linux,10,postgres,write,0.159109116,0.156687975,0.053808928,0
linux,10,postgres,write,0.157725096,0.15617609,0.053943872,0
linux,10,postgres,write,0.161897898,0.158216,0.055122137,0
linux,10,postgres,write,0.156233072,0.154773951,0.052880049,0
linux,10,postgres,write,0.161931038,0.159059048,0.055828094,0
linux,10,postgres,write,0.160738945,0.157080889,0.05300498,0
linux,10,postgres,write,0.15506506,0.153596163,0.051708937,0
linux,10,postgres,write,0.16357708,0.160615921,0.055733204,0
linux,10,postgres,write,0.169768095,0.166691065,0.062371969,0
linux,10,postgres,write,0.168267965,0.165799856,0.062602997,0
linux,10,postgres,write,0.157335997,0.155675888,0.053704977,0
linux,10,postgres,write,0.160737038,0.159023046,0.056167841,1.2
linux,10,postgres,write,0.1612041,0.157907963,0.054370165,0
linux,10,postgres,write,0.169210911,0.166394234,0.063133955,0
linux,10,postgres,write,0.157060862,0.155562162,0.053695917,0
linux,10,postgres,write,0.161318064,0.158535004,0.055513859,0
linux,10,postgres,write,0.160266161,0.156567097,0.053206921,0
linux,10,postgres,write,0.169554949,0.166601181,0.063105106,0
linux,10,postgres,write,0.158952951,0.156005144,0.052555084,0
linux,10,postgres,write,0.170871019,0.168224096,0.063729048,0
linux,10,postgres,write,0.168365002,0.166069984,0.063085079,0
linux,10,postgres,write,0.157786131,0.156349897,0.054497957,0
linux,10,postgres,write,0.162132978,0.159264088,0.055577993,0
linux,10,postgres,write,0.156105042,0.154318094,0.052394152,0
linux,10,postgres,write,0.160395861,0.158936977,0.057075977,0
linux,10,postgres,write,0.160520077,0.159081936,0.056113005,0
linux,10,postgres,write,0.160433054,0.157153845,0.05441308,1.2
linux,10,postgres,write,0.157651901,0.155742884,0.053099871,0
linux,10,postgres,write,0.160134077,0.15772295,0.054890871,0
linux,10,postgres,write,0.160133839,0.157052994,0.053621054,0
linux,10,postgres,write,0.170053959,0.166606903,0.063572168,2.5
linux,10,postgres,write,0.156561136,0.155040979,0.053183079,0
linux,10,postgres,write,0.16058898,0.158499956,0.055962086,0
linux,10,postgres,write,0.160185814,0.157989025,0.054373026,0
linux,10,postgres,write,0.158027887,0.155646801,0.053003073,0
linux,10,postgres,write,0.158307791,0.156656027,0.054790974,0
linux,10,postgres,write,0.160323143,0.158005953,0.055300951,0
linux,10,postgres,write,0.15998292,0.157428026,0.05403614,0
linux,10,postgres,write,0.159896135,0.156883955,0.053377151,0
linux,250,mysql,read,0.105606079,0.103559971,0.002997875,1.3
linux,250,mysql,read,0.103765965,0.10231185,0.00189805,0
linux,250,mysql,read,0.105756044,0.10391283,0.003298998,0
linux,250,mysql,read,0.103400946,0.101958036,0.001531124,1.2
linux,250,mysql,read,0.103404999,0.101954937,0.001516104,1.2
linux,250,mysql,read,0.104092836,0.102103949,0.001435995,1.3
linux,250,mysql,read,0.103406191,0.101953983,0.001540899,1.2
linux,250,mysql,read,0.10569787,0.103226185,0.002695084,1.2
linux,250,mysql,read,0.104346991,0.10229516,0.001793146,0
linux,250,mysql,read,0.103365183,0.101920128,0.001495123,1.2
linux,250,mysql,read,0.103394985,0.101938009,0.001523972,0
linux,250,mysql,read,0.103310108,0.101878166,0.001465082,1.2
linux,250,mysql,read,0.103408813,0.10188508,0.001490831,0
linux,250,mysql,read,0.103340864,0.101895094,0.001481056,1.2
linux,250,mysql,read,0.104455948,0.102998972,0.002411842,0
linux,250,mysql,read,0.10658884,0.104347944,0.003774881,0
linux,250,mysql,read,0.103440046,0.10198307,0.001558065,0
linux,250,mysql,read,0.104010105,0.102429867,0.001979828,0
linux,250,mysql,read,0.103329897,0.101865053,0.001441002,1.2
linux,250,mysql,read,0.103543997,0.102049828,0.001617908,0
linux,250,mysql,read,0.107903957,0.104724884,0.003958941,1.2
linux,250,mysql,read,0.104642868,0.102971792,0.002481937,1.2
linux,250,mysql,read,0.103737116,0.102299929,0.001883984,1.2
linux,250,mysql,read,0.103359938,0.101907969,0.001492977,0
linux,250,mysql,read,0.103344202,0.101891041,0.001477003,1.2
linux,250,mysql,read,0.103364944,0.101907969,0.001496077,1.2
linux,250,mysql,read,0.103363991,0.101910114,0.00150013,0
linux,250,mysql,read,0.103354931,0.101904154,0.001496077,0
linux,250,mysql,read,0.103790998,0.102339983,0.001881838,0
linux,250,mysql,read,0.103990078,0.102542162,0.002129078,1.2
linux,250,mysql,read,0.103348017,0.101889849,0.00147891,0
linux,250,mysql,read,0.103422165,0.10195899,0.001534939,0
linux,250,mysql,read,0.103429079,0.101953983,0.001529217,0
linux,250,mysql,read,0.103400946,0.101935148,0.001512051,3.7
linux,250,mysql,read,0.103410006,0.101942778,0.001519918,1.2
linux,250,mysql,read,0.103323936,0.101855993,0.001435995,0
linux,250,mysql,read,0.103720903,0.102247953,0.001824856,0
linux,250,mysql,read,0.103374958,0.101928949,0.001503944,1.2
linux,250,mysql,read,0.103274822,0.101834059,0.001420975,0
linux,250,mysql,read,0.103385925,0.101931095,0.00150609,0
linux,250,mysql,read,0.10334897,0.101893187,0.001477003,0
linux,250,mysql,read,0.103344917,0.101896048,0.001471996,1.2
linux,250,mysql,read,0.103381157,0.10193181,0.001507998,1.3
linux,250,mysql,read,0.103691101,0.102244139,0.001830101,0
linux,250,mysql,read,0.103290796,0.101850986,0.00148201,1.2
linux,250,mysql,read,0.103408813,0.101971865,0.001543045,1.2
linux,250,mysql,read,0.104182005,0.102715015,0.002295971,0
linux,250,mysql,read,0.10326004,0.101855993,0.001444817,1.2
linux,250,mysql,read,0.103363037,0.101938009,0.001518965,0
linux,250,mysql,read,0.104161024,0.102576971,0.002084017,2.4
linux,250,mysql,read,0.103948116,0.102502108,0.002040148,0
linux,250,mysql,read,0.103389025,0.10194397,0.001516819,1.2
linux,250,mysql,read,0.103606939,0.102118015,0.001688004,0
linux,250,mysql,read,0.103953123,0.102503061,0.002029181,0
linux,250,mysql,read,0.105664968,0.103758097,0.00318718,1.2
linux,250,mysql,read,0.103557825,0.101896048,0.001440048,1.2
linux,250,mysql,read,0.103374004,0.101922989,0.001497984,1.2
linux,250,mysql,read,0.103730917,0.102285147,0.001858234,0
linux,250,mysql,read,0.103384972,0.101938009,0.001508951,2.4
linux,250,mysql,read,0.103312016,0.101868868,0.00145483,0
linux,250,mysql,read,0.105497122,0.103065014,0.002331972,1.2
linux,250,mysql,read,0.10333395,0.101866007,0.001448154,1.2
linux,250,mysql,read,0.103347063,0.101868153,0.001461029,0
linux,250,mysql,read,0.104131937,0.102526903,0.002071857,0
linux,250,mysql,read,0.103746176,0.102290154,0.001875162,1.2
linux,250,mysql,read,0.103521824,0.101879835,0.001410007,1.2
linux,250,mysql,read,0.103410959,0.10196805,0.001539946,1.3
linux,250,mysql,read,0.103397846,0.101938963,0.001522064,0
linux,250,mysql,read,0.103359938,0.101910114,0.001497984,0
linux,250,mysql,read,0.10504508,0.103296041,0.00279212,0
linux,250,mysql,read,0.103354931,0.101921082,0.001507998,0
linux,250,mysql,read,0.103633165,0.102184057,0.001770973,0
linux,250,mysql,read,0.103709936,0.101993084,0.001535177,0
linux,250,mysql,read,0.103360176,0.101897001,0.001492023,0
linux,250,mysql,read,0.103403091,0.101944923,0.001521826,1.2
linux,250,mysql,read,0.103412867,0.101966143,0.001533985,1.2
linux,250,mysql,read,0.10345602,0.101938963,0.001517057,2.4
linux,250,mysql,read,0.103391171,0.10193491,0.001513004,1.2
linux,250,mysql,read,0.103662968,0.102250814,0.001837015,0
linux,250,mysql,read,0.103321791,0.10187602,0.00147295,0
